iteration          avg Insert time(s)          avg Search time(s)     
300                     1.93e-07                         9e-08
301                     2.26e-07                         8.8e-08
302                     2.51e-07                         6.9e-08
303                     2.57e-07                         8.8e-08
304                     2.2e-07                         1.08e-07
305                     2.05e-07                         1.09e-07
306                     3.21e-07                         1.21e-07
307                     2.7e-07                         1.16e-07
308                     2.21e-07                         1e-07
309                     2.16e-07                         9.1e-08
310                     1.93e-07                         6.5e-08
311                     2.25e-07                         8.3e-08
312                     2.05e-07                         1.08e-07
313                     2.27e-07                         8.4e-08
314                     2.27e-07                         1e-07
315                     2.08e-07                         8.1e-08
316                     2.48e-07                         7.3e-08
317                     1.59e-07                         9.5e-08
318                     2.87e-07                         9.2e-08
319                     2.47e-07                         8.5e-08
320                     2.96e-07                         9.3e-08
321                     2.13e-07                         1.01e-07
322                     3.89e-07                         1.09e-07
323                     3.9e-07                         9.6e-08
324                     2.33e-07                         1.14e-07
325                     4.39e-07                         8.8e-08
326                     2.35e-07                         2.02e-07
327                     2.56e-07                         1.04e-07
328                     3.66e-07                         1.83e-07
329                     3.67e-07                         1.11e-07
330                     2.63e-07                         1.02e-07
331                     3.74e-07                         2.24e-07
332                     3.12e-07                         1.81e-07
333                     3.54e-07                         1.85e-07
334                     2.73e-07                         1.49e-07
335                     3.1e-07                         1.15e-07
336                     3.19e-07                         8.3e-08
337                     2.39e-07                         1.25e-07
338                     3.22e-07                         1.3e-07
339                     2.95e-07                         1.27e-07
340                     2.25e-07                         1.27e-07
341                     3.48e-07                         1.77e-07
342                     3.25e-07                         1.32e-07
343                     2.44e-07                         9.9e-08
344                     3e-07                         1.06e-07
345                     2.53e-07                         1.3e-07
346                     3.05e-07                         9.8e-08
347                     2.44e-07                         1.29e-07
348                     2.46e-07                         1.14e-07
349                     2.75e-07                         9.5e-08
350                     1.91e-07                         9e-08
351                     2.5e-07                         1.12e-07
352                     2.38e-07                         7.3e-08
353                     2.64e-07                         1.64e-07
354                     2.36e-07                         1.45e-07
355                     3.42e-07                         3.24e-07
356                     3.46e-07                         1.5e-07
357                     3.75e-07                         1.25e-07
358                     2.03e-07                         1.93e-07
359                     2.99e-07                         2.61e-07
360                     2.87e-07                         1.53e-07
361                     3.14e-07                         1.75e-07
362                     2.49e-07                         1.91e-07
363                     2.34e-07                         1.59e-07
364                     2.74e-07                         1.02e-07
365                     2.54e-07                         9.1e-08
366                     2.52e-07                         1.29e-07
367                     1.69e-07                         8.6e-08
368                     2.15e-07                         1.2e-07
369                     2.09e-07                         1.43e-07
370                     2.71e-07                         1.99e-07
371                     2.76e-07                         1.77e-07
372                     2.4e-07                         1.73e-07
373                     3.18e-07                         1.28e-07
374                     2.66e-07                         1.73e-07
375                     2.77e-07                         1.01e-07
376                     2.47e-07                         1.46e-07
377                     2.26e-07                         1.09e-07
378                     2.7e-07                         1.05e-07
379                     2.49e-07                         1.02e-07
380                     2.44e-07                         1.16e-07
381                     2.08e-07                         9e-08
382                     2.66e-07                         7.6e-08
383                     2.85e-07                         9.9e-08
384                     2.97e-07                         1.08e-07
385                     3.07e-07                         1.15e-07
386                     2.94e-07                         1.04e-07
387                     3.01e-07                         1.03e-07
388                     3.28e-07                         1.15e-07
389                     3.01e-07                         7.8e-08
390                     3.33e-07                         1.03e-07
391                     3.54e-07                         1.01e-07
392                     4.11e-07                         1.12e-07
393                     4.7e-07                         9.9e-08
394                     5.43e-07                         1.05e-07
395                     6.3e-07                         1.39e-07
396                     1.003e-06                         1.02e-07
397                     1.323e-06                         1.52e-07
398                     2.147e-06                         1.28e-07
399                     4.576e-06                         2.26e-07
400                     2.097e-05                         1.21e-07
