iteration          avg Insert time(s)          avg Search time(s)     
278                     1.79e-07                         6.1e-08
279                     1.78e-07                         6.5e-08
280                     1.69e-07                         6.4e-08
281                     1.16e-07                         6.6e-08
282                     2.48e-07                         6.9e-08
283                     1.77e-07                         6.4e-08
284                     1.72e-07                         5.9e-08
285                     2.14e-07                         5.7e-08
286                     1.2e-07                         6.8e-08
287                     1.62e-07                         5.7e-08
288                     2.04e-07                         5.9e-08
289                     1.73e-07                         5.8e-08
290                     1.58e-07                         5.4e-08
291                     1.1e-07                         5.9e-08
292                     1.87e-07                         5.6e-08
293                     4.16e-07                         5.8e-08
294                     1.67e-07                         6.4e-08
295                     1.17e-07                         5.9e-08
296                     1.91e-07                         5.6e-08
297                     1.85e-07                         5.6e-08
298                     1.51e-07                         6.4e-08
299                     1.92e-07                         4.9e-08
300                     1.06e-07                         4.7e-08
301                     1.67e-07                         5e-08
302                     1.94e-07                         4.8e-08
303                     1.54e-07                         5.1e-08
304                     9.9e-08                         5.5e-08
305                     1.41e-07                         7.5e-08
306                     1.51e-07                         5.2e-08
307                     1.53e-07                         5e-08
308                     1.48e-07                         5.1e-08
309                     9.3e-08                         5.2e-08
310                     1.4e-07                         4.5e-08
311                     1.54e-07                         5e-08
312                     1.64e-07                         4.7e-08
313                     9.7e-08                         4.4e-08
314                     1.48e-07                         4.6e-08
315                     1.44e-07                         9.2e-08
316                     1.51e-07                         4.7e-08
317                     1.42e-07                         4.5e-08
318                     1.44e-07                         4.6e-08
319                     1.43e-07                         4.5e-08
320                     1.42e-07                         4.1e-08
321                     1.4e-07                         5.2e-08
322                     1.52e-07                         4.9e-08
323                     9.9e-08                         4.8e-08
324                     1.39e-07                         5e-08
325                     1.43e-07                         4.7e-08
326                     1.46e-07                         4.8e-08
327                     8.6e-08                         4.1e-08
328                     1.39e-07                         4.2e-08
329                     1.42e-07                         4.2e-08
330                     1.37e-07                         4.1e-08
331                     1.43e-07                         4.7e-08
332                     9.2e-08                         4.5e-08
333                     1.48e-07                         4.6e-08
334                     1.45e-07                         4.4e-08
335                     2.37e-07                         4.4e-08
336                     9.1e-08                         4e-08
337                     1.32e-07                         4.3e-08
338                     1.59e-07                         4.3e-08
339                     1.45e-07                         4.3e-08
340                     1.43e-07                         4.7e-08
341                     8.7e-08                         8.3e-08
342                     1.43e-07                         4.2e-08
343                     1.35e-07                         4.2e-08
344                     1.34e-07                         4.4e-08
345                     1.22e-07                         4e-08
346                     1.37e-07                         4.1e-08
347                     1.45e-07                         4.2e-08
348                     1.37e-07                         3.9e-08
349                     1.38e-07                         4.3e-08
350                     8.4e-08                         4.2e-08
351                     1.42e-07                         4.5e-08
352                     1.5e-07                         3.8e-08
