iteration          avg Insert time(s)          avg Search time(s)     
239                     1.07e-07                         4.7e-08
240                     6e-08                         4.5e-08
241                     1.07e-07                         4.6e-08
242                     1.09e-07                         4.8e-08
243                     1.04e-07                         4.6e-08
244                     5.9e-08                         4.5e-08
245                     1.05e-07                         4.5e-08
246                     1.07e-07                         4.5e-08
247                     1.04e-07                         4.6e-08
248                     1.04e-07                         4.8e-08
249                     6e-08                         4.7e-08
250                     1.04e-07                         4.6e-08
251                     1.04e-07                         4.5e-08
252                     1.03e-07                         4.5e-08
253                     6e-08                         4.5e-08
254                     1.06e-07                         4.5e-08
255                     1.05e-07                         4.5e-08
256                     1.93e-07                         4.5e-08
257                     1.09e-07                         4.6e-08
258                     6e-08                         4.5e-08
259                     1.05e-07                         4.7e-08
260                     1.06e-07                         4.4e-08
261                     1.04e-07                         4.5e-08
262                     6e-08                         4.4e-08
263                     1.06e-07                         4.6e-08
264                     1.07e-07                         4.5e-08
265                     1.05e-07                         4.5e-08
266                     1.05e-07                         4.5e-08
267                     6.3e-08                         4.5e-08
268                     1.07e-07                         4.6e-08
269                     1.08e-07                         4.8e-08
270                     1.05e-07                         4.6e-08
271                     1.07e-07                         4.7e-08
272                     5.9e-08                         4.4e-08
273                     1.07e-07                         5.6e-08
274                     9.5e-08                         5.1e-08
275                     9.6e-08                         4.1e-08
276                     5.4e-08                         4.2e-08
277                     9.3e-08                         4.2e-08
278                     9.4e-08                         3.9e-08
279                     9.2e-08                         3.9e-08
280                     9.3e-08                         3.9e-08
281                     5.2e-08                         4e-08
282                     9.4e-08                         4.1e-08
283                     9.5e-08                         3.9e-08
284                     9.5e-08                         4e-08
285                     5.4e-08                         3.9e-08
286                     9.5e-08                         3.9e-08
287                     9.2e-08                         4e-08
288                     9.1e-08                         4.1e-08
289                     9.1e-08                         3.9e-08
290                     5.2e-08                         4e-08
291                     9.2e-08                         3.9e-08
292                     9.2e-08                         4e-08
293                     9.4e-08                         4e-08
294                     5.3e-08                         3.9e-08
295                     9.3e-08                         3.9e-08
296                     9.2e-08                         3.8e-08
297                     9.2e-08                         3.9e-08
298                     1.76e-07                         3.9e-08
299                     5.2e-08                         4e-08
300                     9.3e-08                         4e-08
301                     9.4e-08                         4e-08
302                     9.2e-08                         4.1e-08
303                     9.3e-08                         3.9e-08
304                     5.2e-08                         3.9e-08
305                     9.2e-08                         4e-08
306                     9.3e-08                         3.9e-08
307                     9.2e-08                         3.9e-08
308                     5.3e-08                         3.9e-08
309                     9.5e-08                         3.9e-08
310                     9.2e-08                         4e-08
311                     9.1e-08                         4.2e-08
312                     9.6e-08                         4.1e-08
313                     5.2e-08                         4e-08
314                     9.4e-08                         3.9e-08
315                     9.1e-08                         3.9e-08
316                     9.2e-08                         3.9e-08
317                     5.2e-08                         3.9e-08
318                     9.4e-08                         3.9e-08
319                     9.5e-08                         4.1e-08
320                     9.3e-08                         3.9e-08
321                     9.2e-08                         3.9e-08
322                     5.5e-08                         4e-08
323                     9.6e-08                         3.9e-08
324                     9.2e-08                         3.9e-08
325                     9.4e-08                         3.9e-08
326                     5.3e-08                         3.9e-08
327                     9.2e-08                         4e-08
328                     9.3e-08                         4.1e-08
329                     9.3e-08                         3.9e-08
330                     9.4e-08                         3.9e-08
331                     5.2e-08                         3.9e-08
332                     9.3e-08                         4e-08
333                     9.3e-08                         4e-08
334                     9.8e-08                         4e-08
335                     1e-07                         3.9e-08
336                     5.4e-08                         4.1e-08
337                     9.6e-08                         5.3e-08
338                     1.03e-07                         5.9e-08
339                     2.09e-07                         4e-08
340                     5.3e-08                         4.1e-08
341                     2.17e-07                         4e-08
342                     9.3e-08                         4e-08
343                     9.2e-08                         3.9e-08
344                     9.3e-08                         4e-08
345                     5.2e-08                         3.9e-08
346                     9.3e-08                         3.9e-08
347                     9.3e-08                         3.9e-08
348                     9.5e-08                         4e-08
349                     5.2e-08                         3.8e-08
350                     9.4e-08                         4.1e-08
351                     9.6e-08                         4e-08
352                     1.01e-07                         4.1e-08
353                     9.7e-08                         4e-08
354                     5.3e-08                         3.9e-08
355                     9.4e-08                         4e-08
356                     9.6e-08                         4e-08
357                     9.3e-08                         3.9e-08
358                     5.3e-08                         3.9e-08
359                     9.1e-08                         3.9e-08
360                     9.4e-08                         3.9e-08
361                     9.2e-08                         3.9e-08
362                     9.2e-08                         3.9e-08
363                     5.2e-08                         3.9e-08
364                     9.3e-08                         3.8e-08
365                     9.1e-08                         3.9e-08
366                     1.08e-07                         3.9e-08
367                     9.1e-08                         4.1e-08
368                     5.2e-08                         3.9e-08
369                     9.2e-08                         3.8e-08
370                     9.1e-08                         4e-08
371                     9.5e-08                         3.9e-08
372                     5.3e-08                         3.9e-08
373                     9.2e-08                         3.9e-08
374                     9.2e-08                         3.9e-08
375                     9.4e-08                         4e-08
376                     9.3e-08                         3.8e-08
377                     5.2e-08                         3.9e-08
378                     9.2e-08                         3.9e-08
379                     9.4e-08                         3.9e-08
380                     9.3e-08                         3.9e-08
381                     5.3e-08                         3.9e-08
382                     9.2e-08                         3.9e-08
383                     1.84e-07                         4e-08
384                     9.3e-08                         4e-08
385                     9.2e-08                         4e-08
386                     5.2e-08                         3.9e-08
387                     9.3e-08                         3.9e-08
388                     9.1e-08                         4e-08
389                     9.2e-08                         3.8e-08
390                     5.2e-08                         3.9e-08
391                     1.1e-07                         3.9e-08
392                     9.3e-08                         3.9e-08
393                     1.01e-07                         4e-08
394                     9.5e-08                         3.9e-08
395                     5.2e-08                         4e-08
396                     9.5e-08                         3.9e-08
397                     1.11e-07                         3.9e-08
398                     9.6e-08                         4e-08
399                     9.8e-08                         4.2e-08
400                     5.4e-08                         4e-08
